storm_date,storm_time,state_name,magnitude,fatality_count,length,width
2001-04-11,14:10:00,Iowa,1,0,4,120
2016-11-28,12:44:00,Iowa,0,0,5.22,150
2015-11-11,15:22:00,Iowa,2,0,13.03,570
2013-05-30,15:10:00,Iowa,1,0,2.43,300
2004-05-21,16:12:00,Iowa,1,0,1,600
2001-04-11,11:55:00,Iowa,1,0,0.5,120
2004-05-22,18:55:00,Iowa,1,0,5,300
2009-06-21,18:20:00,Iowa,1,0,2.3,270
1997-08-23,19:50:00,Iowa,1,0,5,450
2016-04-27,16:40:00,Iowa,0,0,4.01,750
2014-06-30,12:02:00,Iowa,1,0,7.54,1380
2001-04-11,14:38:00,Iowa,1,0,2.2,150
2008-04-10,16:10:00,Iowa,1,0,2.92,150
1998-06-29,12:20:00,Iowa,2,0,34.1,300
1999-07-02,13:10:00,Iowa,1,0,0.5,90
2017-07-11,16:35:00,Iowa,1,0,4.58,180
2004-05-24,18:53:00,Iowa,0,0,0.1,75
2015-11-11,15:27:00,Iowa,0,0,2.59,450
2007-09-30,17:26:00,Iowa,2,0,21.86,3750
2017-04-15,19:50:00,Iowa,1,0,3.22,75
2004-09-05,19:48:00,Iowa,0,0,2,150
2015-11-11,15:42:00,Iowa,1,0,4.38,300
2011-04-09,18:37:00,Iowa,1,0,0.69,225
1999-05-16,15:16:00,Iowa,3,2,7.5,1320
2009-08-19,14:50:00,Iowa,0,0,3.53,120
2017-03-06,22:13:00,Iowa,2,0,25.25,3000
2016-05-09,18:46:00,Iowa,0,0,5.52,390
2001-05-10,16:15:00,Iowa,2,0,8,2625
2005-11-12,16:30:00,Iowa,1,0,1,300
2008-04-25,12:35:00,Iowa,0,0,0.81,90
2017-03-06,19:29:00,Iowa,1,0,5.33,360
2008-06-05,20:24:00,Iowa,1,0,3.04,450
2017-05-17,18:44:00,Iowa,1,0,2.14,75
2017-03-06,18:27:00,Iowa,0,0,17.86,255
2005-05-10,19:20:00,Iowa,0,0,2.5,120
2008-06-08,18:30:00,Iowa,1,0,2.08,300
2006-04-13,18:40:00,Iowa,0,0,1,600
2008-05-25,17:05:00,Iowa,3,0,31.99,3696
1999-04-08,17:15:00,Iowa,3,0,16,900
2006-04-13,20:42:00,Iowa,1,0,1.5,300
2007-06-01,11:07:00,Iowa,3,0,15.75,2322
2008-06-04,19:58:00,Iowa,1,0,5.63,450
1996-05-09,01:40:00,Iowa,1,0,2,150
2008-06-04,19:24:00,Iowa,1,0,9.49,450
2013-06-12,15:32:00,Iowa,2,0,5.2,900
1996-05-09,00:50:00,Iowa,1,0,0.7,105
2014-08-31,18:57:00,Iowa,0,0,1.9,180
1999-05-16,14:33:00,Iowa,2,0,22.5,270
2016-07-23,15:06:00,Iowa,1,0,0.11,75
2000-10-13,17:45:00,Iowa,1,0,14,150
1998-05-21,20:20:00,Iowa,1,0,0.5,120
2007-06-01,13:28:00,Iowa,2,0,3.44,1050
2016-06-14,13:22:00,Iowa,0,0,0.36,75
2000-05-11,18:55:00,Iowa,2,0,3.6,360
2017-03-06,18:58:00,Iowa,1,0,6.32,900
2004-05-30,13:18:00,Iowa,0,0,0.3,120
1999-04-08,16:18:00,Iowa,3,0,39,0
1996-05-27,13:50:00,Iowa,1,0,0.3,135
2005-05-10,18:58:00,Iowa,0,0,2,120
2017-06-16,20:35:00,Iowa,1,0,1.32,120
2011-05-22,14:37:00,Iowa,1,0,7.87,210
2015-05-17,01:20:00,Iowa,0,0,7.11,390
2011-05-11,15:45:00,Iowa,1,0,1,1200
2015-11-11,13:48:00,Iowa,1,0,10.21,450
2008-04-10,15:57:00,Iowa,1,0,2.01,90
2015-06-20,18:32:00,Iowa,1,0,2.92,150
2001-04-11,16:07:00,Iowa,1,0,10,150
2004-05-22,18:45:00,Iowa,0,0,1.4,150
2016-07-17,05:03:00,Iowa,1,0,1,150
2001-09-06,16:39:00,Iowa,2,0,11.5,300
2015-11-11,14:51:00,Iowa,1,0,10.07,225
1998-06-18,14:30:00,Iowa,2,0,20,90
1999-04-08,16:13:00,Iowa,2,0,32,0
2001-04-11,13:25:00,Iowa,1,0,2,225
1997-07-26,09:30:00,Iowa,1,0,1,120
2011-05-22,13:33:00,Iowa,2,0,28.68,750
2002-06-01,16:07:00,Iowa,1,0,2.5,210
2017-03-06,22:18:00,Iowa,1,0,16.63,300
2005-11-12,16:26:00,Iowa,2,0,14,300
2016-09-06,16:50:00,Iowa,0,0,0.02,75
2005-11-12,16:27:00,Iowa,3,1,17.6,450
1996-05-09,23:36:00,Iowa,1,0,1.5,180
2017-07-19,16:15:00,Iowa,0,0,0.72,60
2008-05-30,03:51:00,Iowa,1,0,7.2,375
1998-06-18,16:00:00,Iowa,1,0,1,300
2017-06-28,15:45:00,Iowa,1,0,7.59,300
2004-08-16,18:16:00,Iowa,1,0,1.7,225
2003-05-10,16:26:00,Iowa,1,0,18.5,150
1999-04-08,14:48:00,Iowa,4,0,56,3750
2011-06-21,00:15:00,Iowa,0,0,0.8,90
2007-06-22,15:40:00,Iowa,1,0,3,450
2017-08-21,16:52:00,Iowa,0,0,3.28,240
1999-04-08,12:33:00,Iowa,1,0,2,0
2015-11-11,16:20:00,Iowa,2,0,6.6,450
1998-06-18,16:10:00,Iowa,0,0,0.1,90
2008-06-11,17:40:00,Iowa,2,0,13.08,300
2017-03-06,19:19:00,Iowa,1,0,4.83,300
2015-11-11,14:49:00,Iowa,0,0,5.72,210
1998-06-27,19:22:00,Iowa,2,0,12.5,150
2000-05-11,19:19:00,Iowa,0,0,0.1,30
2014-06-16,17:52:00,Iowa,1,0,2.57,525
2011-04-09,20:24:00,Iowa,2,0,1.6,660
2007-05-06,03:45:00,Iowa,0,0,4.2,150
2007-10-02,17:35:00,Iowa,1,0,1,300
2014-05-11,20:56:00,Iowa,1,0,4.33,570
2001-05-10,20:18:00,Iowa,0,0,0.5,210
2014-05-11,21:44:00,Iowa,0,0,1.68,300
2014-06-30,12:15:00,Iowa,1,0,11.01,570
2017-03-06,19:35:00,Iowa,1,0,6.76,240
2013-10-04,17:35:00,Iowa,4,0,24.7,7800
1999-06-06,18:14:00,Iowa,1,0,0.7,90
2007-03-31,16:29:00,Iowa,1,0,11.85,600
1999-05-16,16:14:00,Iowa,2,0,5,360
2011-04-09,20:54:00,Iowa,4,0,3.2,1761
2006-04-13,20:13:00,Iowa,0,0,6.4,660
2017-03-06,17:28:00,Iowa,1,0,2.87,150
2017-05-15,17:45:00,Iowa,0,0,0.98,150
2008-07-10,13:10:00,Iowa,0,0,3.43,300
2008-05-30,04:07:00,Iowa,2,0,19.18,2700
2008-05-25,18:31:00,Iowa,1,0,8.48,750
2017-03-06,22:05:00,Iowa,2,0,1.78,600
2000-05-11,19:20:00,Iowa,1,0,8,990
2006-04-13,19:38:00,Iowa,1,0,5.1,2100
2017-03-06,20:16:00,Iowa,2,0,14.92,750
2017-03-06,20:30:00,Iowa,1,0,8.01,180
2001-04-11,15:00:00,Iowa,2,2,8.4,300
2015-05-10,18:10:00,Iowa,1,0,23.34,2100
2006-04-13,19:45:00,Iowa,1,1,9.4,1320
2004-08-26,21:51:00,Iowa,1,0,4.2,1320
2012-04-14,17:52:00,Iowa,2,0,16.59,2400
2010-07-23,19:03:00,Iowa,1,0,3.35,450
2015-11-11,14:09:00,Iowa,1,0,12.18,840
2009-08-19,15:30:00,Iowa,1,0,2.2,300
1999-04-05,15:28:00,Iowa,0,0,0.2,60
2014-07-06,19:12:00,Iowa,1,0,9.68,675
1998-05-15,16:05:00,Iowa,3,0,47,1200
2016-03-15,18:49:00,Iowa,1,0,1.35,225
2017-03-06,19:47:00,Iowa,0,0,5.45,195
2016-04-27,16:12:00,Iowa,0,0,0.62,150
2004-08-03,16:00:00,Iowa,1,0,3,300
2006-08-03,14:25:00,Ohio,0,0,0.1,51
2002-11-10,16:30:00,Ohio,2,0,10,150
2017-05-24,19:06:00,Ohio,0,0,1.61,270
2015-06-23,11:39:00,Ohio,0,0,0.47,75
2012-03-02,16:53:00,Ohio,0,0,2.77,300
2011-04-20,00:14:00,Ohio,1,0,4.22,600
2006-06-22,15:30:00,Ohio,2,0,6,300
2010-06-27,16:54:00,Ohio,1,0,2.27,300
1974-04-03,13:30:00,Ohio,5,36,31.3,1599
2010-09-16,16:09:00,Ohio,1,0,0.97,450
2013-11-17,16:35:00,Ohio,2,0,11.28,300
1999-10-13,15:00:00,Ohio,3,0,3.6,0
2005-08-20,14:20:00,Ohio,1,0,0.1,75
2014-07-27,13:29:00,Ohio,0,0,0.07,150
2011-05-25,22:30:00,Ohio,1,0,2.54,300
2004-06-13,16:28:00,Ohio,1,0,4,150
2011-04-27,07:53:00,Ohio,0,0,1.31,600
2010-09-16,16:54:00,Ohio,2,0,3.3,900
2017-11-05,16:08:00,Ohio,1,0,2.96,600
2010-09-16,18:00:00,Ohio,3,1,9.05,1500
2010-10-26,12:27:00,Ohio,0,0,0.55,150
2017-11-05,16:02:00,Ohio,0,0,0.59,300
2010-06-05,21:00:00,Ohio,1,0,3.4,300
2010-10-26,11:20:00,Ohio,0,0,3.95,600
2010-09-16,15:56:00,Ohio,1,0,2.85,600
2002-11-10,16:20:00,Ohio,1,0,3.5,150
1998-06-24,18:45:00,Ohio,2,0,3.5,300
2007-08-05,17:50:00,Ohio,0,0,0.75,30
2002-05-08,16:07:00,Ohio,2,0,3,240
1999-07-28,10:08:00,Ohio,1,0,5,150
2016-03-14,12:26:00,Ohio,1,0,2.25,450
2010-10-26,09:59:00,Ohio,2,0,3.92,330
2011-04-20,00:53:00,Ohio,0,0,0.07,150
2015-05-26,15:16:00,Ohio,1,0,0.59,210
2016-08-24,19:06:00,Ohio,0,0,0.04,60
2002-11-10,16:19:00,Ohio,1,0,0.5,75
2010-10-26,11:52:00,Ohio,0,0,2.23,90
2017-11-05,17:16:00,Ohio,1,0,6.62,600
2017-07-22,16:48:00,Ohio,1,0,0.8,690
2006-10-11,16:25:00,Ohio,2,0,0.5,150
2011-04-20,00:42:00,Ohio,2,0,3.85,300
2002-11-10,15:57:00,Ohio,2,0,9,150
2015-06-18,17:07:00,Ohio,1,0,8.52,300
2011-05-23,17:55:00,Ohio,1,0,0.95,300
2010-09-16,15:26:00,Ohio,2,0,11.47,450
1998-08-25,13:45:00,Ohio,2,0,10,750
2016-08-20,16:37:00,Ohio,0,0,3.3,300
2008-05-30,22:28:00,Ohio,0,0,3.24,1392
2016-06-04,16:06:00,Ohio,0,0,0.3,405
2002-11-10,16:48:00,Ohio,2,0,9.5,150
2016-06-23,01:20:00,Ohio,1,0,3.8,900
2013-07-10,13:56:00,Ohio,0,0,1.03,45
2002-11-10,15:54:00,Ohio,1,0,4.5,150
2010-05-21,16:44:00,Ohio,1,0,4.27,150
2017-11-05,15:53:00,Ohio,1,0,0.44,540
2017-03-01,07:16:00,Ohio,1,0,0.57,375
2011-04-19,21:44:00,Ohio,0,0,3.77,201
2017-11-05,16:10:00,Ohio,0,0,3.25,300
2002-11-10,18:00:00,Ohio,2,0,10.1,300
2014-06-23,16:55:00,Ohio,1,0,1.72,360
2003-11-12,18:00:00,Ohio,2,0,12,375
2008-05-30,23:29:00,Ohio,2,0,8.31,300
2017-11-05,13:40:00,Ohio,2,0,5.41,600
2010-05-21,18:44:00,Ohio,1,0,2.97,225
2014-06-04,13:40:00,Ohio,0,0,4.11,600
2016-07-13,20:18:00,Ohio,0,0,0.71,450
2017-11-05,18:18:00,Ohio,1,0,0.75,528
2006-07-11,17:42:00,Ohio,1,0,0.8,150
2014-07-08,12:15:00,Ohio,0,0,5.39,600
2017-03-01,02:38:00,Ohio,1,0,6.39,450
2004-05-27,16:45:00,Ohio,1,0,3,150
2011-05-23,18:10:00,Ohio,1,0,0.4,300
2009-07-11,13:55:00,Ohio,1,0,3.07,1320
2013-06-12,22:03:00,Ohio,0,0,2.32,150
2014-09-10,15:54:00,Ohio,0,0,0.76,150
2017-05-24,20:03:00,Ohio,1,0,1.91,480
2014-12-24,16:16:00,Ohio,0,0,0.63,90
2000-09-20,18:05:00,Ohio,2,0,2.5,300
2017-09-04,20:42:00,Ohio,2,0,16.67,1200
1985-05-31,16:30:00,Ohio,5,18,47,1350
1998-08-25,12:45:00,Ohio,0,0,3,90
2017-03-01,01:31:00,Ohio,0,0,6.87,750
2007-04-26,18:25:00,Ohio,0,0,1,90
2011-04-19,21:39:00,Ohio,2,0,3.68,90
2002-11-10,14:15:00,Ohio,4,4,52.8,2640
1999-04-09,04:00:00,Ohio,1,0,0.5,660
2010-06-05,12:40:00,Ohio,1,0,12.84,300
2016-03-14,12:26:00,Ohio,0,0,0.75,300
2013-07-23,15:22:00,Ohio,0,0,3.15,225
2016-08-20,16:15:00,Ohio,0,0,4.7,150
1996-06-04,16:39:00,Ohio,0,0,0.5,60
2017-05-24,19:20:00,Ohio,1,0,4.11,900
2015-06-20,12:12:00,Ohio,0,0,0.12,231
2017-11-05,13:42:00,Ohio,1,0,1.24,150
2010-06-06,03:34:00,Ohio,0,0,3.39,300
2017-05-24,19:12:00,Ohio,0,0,1.13,270
2017-08-17,17:11:00,Ohio,1,0,1.04,300
2012-03-02,16:46:00,Ohio,0,0,2.04,300
2012-03-02,16:46:00,Ohio,0,0,4.14,600
2001-05-21,16:35:00,Ohio,1,0,4,600
2011-04-20,00:39:00,Ohio,1,0,2.58,900
2016-03-14,11:38:00,Ohio,1,0,1.14,225
2010-06-02,15:58:00,Ohio,1,0,3.78,900
2002-04-28,11:58:00,Ohio,2,0,7.2,1320
2010-10-26,11:30:00,Ohio,0,0,5.51,600
2017-11-05,13:18:00,Ohio,1,0,1.34,150
2017-03-01,06:39:00,Ohio,1,0,2.19,450
2000-09-20,17:18:00,Ohio,4,1,9,1500
2017-11-05,16:00:00,Ohio,2,0,1.09,600
2017-04-05,16:58:00,Ohio,0,0,0.11,120
1997-07-26,20:40:00,Ohio,0,0,0.5,90
2013-07-10,14:44:00,Ohio,1,0,13.35,900
2014-07-27,18:39:00,Ohio,0,0,2.52,3900
2000-08-09,18:26:00,Ohio,1,0,2.7,240
2017-03-01,08:07:00,Ohio,1,0,0.05,900
1999-04-09,03:12:00,Ohio,4,4,10,810
2011-06-27,18:53:00,Ohio,0,0,1.52,150
2017-05-24,18:11:00,Ohio,1,0,3.04,300
2013-07-19,15:07:00,Ohio,0,0,0.63,525
2009-07-31,05:45:00,Ohio,1,0,0.28,60
2002-11-10,15:38:00,Ohio,3,0,9,900
2007-04-26,17:23:00,Ohio,1,0,1.5,150
2017-11-05,16:29:00,Ohio,1,0,2.04,300
2006-06-22,15:45:00,Ohio,1,0,4,225
2003-11-12,19:00:00,Ohio,2,0,3.5,525
2017-03-01,01:40:00,Ohio,0,0,4.53,300
2013-07-08,19:02:00,Ohio,0,0,0.05,45
2016-06-23,01:03:00,Ohio,1,0,20.7,750
2010-09-16,16:20:00,Ohio,1,0,5,300
2014-05-12,17:45:00,Ohio,0,0,1.08,300
2013-07-20,01:35:00,Ohio,1,0,1.34,600
2000-06-20,19:20:00,Ohio,0,0,0.3,60
2008-01-29,20:00:00,Ohio,0,0,2,240
1998-04-09,11:45:00,Ohio,0,0,0.3,90
1999-04-09,03:33:00,Ohio,2,0,1.5,300
2017-05-24,18:26:00,Ohio,0,0,2.61,120
2011-04-04,13:46:00,Ohio,0,0,0.9,150
2010-06-05,11:46:00,Ohio,0,0,0.45,60
2010-09-16,14:38:00,Ohio,0,0,0.12,300
1996-05-01,16:15:00,Ohio,1,0,0.1,90
2017-07-10,17:35:00,Ohio,0,0,0.44,150
2006-10-11,16:49:00,Ohio,2,0,0.5,450
2017-03-01,06:03:00,Ohio,0,0,1.05,1050
2000-08-09,17:50:00,Ohio,1,0,2,150
2011-04-20,00:22:00,Ohio,1,0,2.54,300
2001-05-26,17:45:00,Ohio,0,0,0.1,30
2014-05-12,18:15:00,Ohio,0,0,0.21,120
2013-07-10,15:07:00,Ohio,1,0,9.06,450
2017-04-05,16:51:00,Ohio,0,0,0.08,120
2007-08-09,14:35:00,Ohio,1,0,1,150
2015-12-23,16:12:00,Ohio,0,0,0.03,60
2017-07-10,18:14:00,Ohio,0,0,6.35,450
2013-10-31,21:38:00,Ohio,0,0,0.3,90
2016-08-17,09:16:00,Ohio,0,0,1,300
2007-08-05,18:42:00,Ohio,0,0,0.75,30
2007-03-14,17:32:00,Ohio,0,0,2,60
2017-11-05,17:51:00,Ohio,2,0,6.7,600
2016-03-14,12:30:00,Ohio,0,0,0.68,180
2010-10-26,09:40:00,Ohio,1,0,4.35,90
2002-11-10,16:15:00,Ohio,3,1,21,300
2008-06-03,22:25:00,Ohio,0,0,0.17,75
2016-03-14,12:16:00,Ohio,1,0,2.98,120
2017-11-05,15:51:00,Ohio,2,0,0.61,450
2009-06-17,17:27:00,Ohio,0,0,3.84,300
2010-05-11,15:30:00,Ohio,0,0,4.62,150
2011-08-24,22:40:00,Ohio,1,0,2.91,150
2017-03-26,12:24:00,Ohio,1,0,0.31,210
2009-10-23,16:16:00,Ohio,0,0,0.1,21
2006-07-10,13:40:00,Ohio,1,0,6,120
2011-06-27,17:54:00,Ohio,1,0,1.58,300
2011-05-25,23:25:00,Ohio,0,0,0.46,225
2013-10-31,22:40:00,Ohio,0,0,0.27,150
2014-07-08,11:33:00,Ohio,1,0,8.3,600
2000-05-23,16:10:00,Ohio,1,0,2,450
2017-05-24,19:16:00,Ohio,1,0,0.4,900
2010-06-05,21:20:00,Ohio,4,7,8.8,1200
2017-11-05,16:52:00,Ohio,1,0,0.2,150
2002-11-10,17:27:00,Ohio,1,0,3.3,75
2002-11-10,16:42:00,Ohio,1,0,12.5,150
1998-06-27,18:05:00,Ohio,2,1,0.3,600
2010-09-16,16:21:00,Ohio,1,0,4.73,900
1998-08-24,07:00:00,Ohio,1,0,0.5,90
2007-08-09,14:28:00,Ohio,1,0,0.5,90
2017-11-05,16:23:00,Ohio,0,0,0.62,150
2001-05-21,17:43:00,Ohio,1,0,0.5,300
2017-11-05,16:21:00,Ohio,1,0,1.83,300
1996-05-29,17:30:00,Utah,1,0,1.3,99
1999-09-03,15:15:00,Utah,1,0,4,150
2016-09-22,15:45:00,Utah,1,0,2.85,150
2003-06-09,16:19:00,Utah,0,0,0.1,30
2016-09-22,18:54:00,Utah,1,0,0.75,75
1999-08-11,12:41:00,Utah,2,1,4.3,450
2009-05-03,20:50:00,Utah,0,0,1,45
1998-09-12,15:20:00,Utah,0,0,0.1,90
2010-07-26,15:45:00,Utah,0,0,0.12,45
2011-06-23,18:50:00,Idaho,0,0,0.5,150
2000-02-14,16:55:00,Idaho,0,0,5,150
2017-11-17,15:25:00,Idaho,0,0,5,60
2000-02-14,16:40:00,Idaho,0,0,9,300
2010-10-07,17:20:00,Idaho,0,0,1,15
2000-02-14,16:47:00,Idaho,1,0,14,900
1998-06-08,16:45:00,Idaho,0,0,0.2,90
2006-03-25,20:58:00,Idaho,0,0,2,600
2005-05-05,19:51:00,Idaho,0,0,0.4,150
2000-02-14,17:19:00,Idaho,1,0,9,600
1997-06-30,19:00:00,Idaho,0,0,0.2,69
1998-10-01,07:21:00,Maine,1,0,0.5,450
2006-09-29,12:54:00,Maine,1,0,1.5,600
1997-11-28,15:30:00,Texas,1,0,0.8,219
1998-04-26,15:49:00,Texas,0,0,0.1,90
2016-04-24,17:29:00,Texas,0,0,1.44,90
2016-05-26,14:20:00,Texas,0,0,0.11,90
2015-05-10,21:50:00,Texas,1,0,1.09,1350
2003-11-17,14:50:00,Texas,0,0,1,225
2004-06-23,13:16:00,Texas,0,0,0.5,75
2008-04-07,16:06:00,Texas,1,0,2,600
2003-03-25,16:30:00,Texas,0,0,0.3,60
2016-03-07,18:08:00,Texas,1,0,2.15,900
2015-04-26,22:01:00,Texas,0,0,5.4,660
1997-05-30,16:54:00,Texas,1,0,5,150
2012-01-09,11:15:00,Texas,0,0,0.05,150
2003-05-24,19:18:00,Texas,1,0,3,300
2006-10-16,05:00:00,Texas,1,0,2.78,60
2001-09-05,13:25:00,Texas,1,0,1.5,150
2016-04-30,03:44:00,Texas,1,0,3.14,1140
2002-05-05,20:00:00,Texas,1,0,1,120
2003-06-05,16:30:00,Texas,0,0,4,1320
2003-11-17,23:35:00,Texas,1,0,1,150
2011-02-01,06:10:00,Texas,1,0,0.64,300
2017-01-15,18:35:00,Texas,1,0,6.5,600
2017-05-23,16:37:00,Texas,0,0,1.81,600
2015-04-09,18:20:00,Texas,1,0,4.52,2280
1997-04-10,16:33:00,Texas,2,0,2.6,750
2008-08-26,15:19:00,Texas,0,0,0.1,75
2009-11-29,17:57:00,Texas,1,0,3.32,225
2004-05-11,15:25:00,Texas,1,0,1,750
1997-05-27,14:40:00,Texas,5,27,5.1,1950
2001-11-15,09:30:00,Texas,0,0,3,150
2017-08-27,00:43:00,Texas,1,0,2.27,150
2007-04-25,01:15:00,Texas,0,0,3,150
1999-05-04,17:38:00,Texas,1,0,1,450
1997-05-27,12:21:00,Texas,2,0,2,219
2017-01-21,16:18:00,Texas,2,0,6.93,690
2004-05-11,16:31:00,Texas,0,0,1,75
2016-05-26,11:30:00,Texas,1,0,2.86,150
2017-05-11,14:55:00,Texas,0,0,2.09,150
2016-04-29,21:46:00,Texas,1,0,5.77,600
2012-01-25,12:05:00,Texas,0,0,0.2,225
2007-05-23,21:55:00,Texas,1,0,4,450
2017-01-15,20:43:00,Texas,0,0,0.31,240
2017-04-10,21:45:00,Texas,0,0,0.72,240
2007-04-21,20:35:00,Texas,2,0,12.88,1320
2009-04-29,17:36:00,Texas,0,0,0.1,75
2006-04-29,09:15:00,Texas,1,0,0.7,75
2008-04-10,02:30:00,Texas,0,0,2.92,150
2005-05-31,21:32:00,Texas,1,0,2,0
2007-03-28,18:16:00,Texas,2,2,22,450
2017-12-19,18:53:00,Texas,2,0,3.08,2073
2009-04-09,20:48:00,Texas,2,0,37.17,1500
2017-12-19,19:31:00,Texas,2,0,6.39,3900
1997-06-17,16:45:00,Texas,1,0,0.2,90
2000-05-27,12:28:00,Texas,0,0,1,60
2007-06-26,17:00:00,Texas,0,0,1,120
1998-10-27,19:15:00,Texas,1,0,1,900
2017-04-10,18:35:00,Texas,1,0,1.83,750
2011-05-24,18:38:00,Texas,0,0,0.03,90
2017-01-15,18:17:00,Texas,1,0,1.38,360
2017-08-25,23:28:00,Texas,0,0,4.31,150
2012-05-10,22:17:00,Texas,0,0,1.13,150
1994-04-25,20:30:00,Texas,4,3,6,2400
2012-04-03,11:41:00,Texas,1,0,1.16,180
1997-10-23,13:00:00,Texas,1,0,3,1320
2008-12-27,11:37:00,Texas,0,0,1.38,150
2017-08-27,09:15:00,Texas,0,0,0.08,60
2007-05-05,22:40:00,Texas,0,0,2,900
2017-05-03,15:14:00,Texas,1,0,8.37,4500
2015-05-19,20:54:00,Texas,1,0,2.47,330
2011-04-25,21:13:00,Texas,0,0,0.67,75
2008-10-06,19:29:00,Texas,0,0,6.95,150
2002-10-08,10:20:00,Texas,0,0,1,600
2006-05-10,15:59:00,Texas,0,0,0.2,60
2006-12-29,13:20:00,Texas,1,0,8,225
2007-10-16,23:16:00,Texas,1,0,11.46,900
2006-05-09,20:30:00,Texas,2,0,1.5,525
2015-05-20,01:35:00,Texas,0,0,0.31,90
2003-10-09,16:45:00,Texas,0,0,1,150
2017-08-25,21:44:00,Texas,0,0,4.76,150
2003-04-05,20:19:00,Texas,0,0,0.7,300
2000-03-22,22:55:00,Texas,2,0,12,900
2014-05-26,16:38:00,Texas,2,0,1.01,1200
2016-04-26,20:22:00,Texas,0,0,0.23,240
2000-04-23,14:53:00,Texas,2,0,16.8,450
2012-06-12,19:58:00,Texas,1,0,0.13,900
2009-03-27,15:32:00,Texas,0,0,0.1,45
2006-03-19,22:20:00,Texas,2,0,2,150
2006-12-29,15:07:00,Texas,0,0,0.7,150
2004-05-13,05:45:00,Texas,1,0,3,150
2016-03-08,06:55:00,Texas,1,0,2.19,300
2002-05-27,14:10:00,Texas,0,0,0.3,300
2010-05-24,19:29:00,Texas,0,0,3.06,300
2007-05-23,22:11:00,Texas,2,0,8,1584
2008-03-03,08:13:00,Texas,1,0,5,225
1996-04-21,22:40:00,Texas,0,0,2,90
2007-03-28,19:45:00,Texas,3,0,7.99,5280
2007-04-21,20:50:00,Texas,1,0,12.7,150
2017-03-29,15:34:00,Texas,1,0,12.19,2400
2002-10-28,21:30:00,Texas,1,0,0.5,60
2006-12-29,13:41:00,Texas,0,0,1,225
2017-08-26,23:00:00,Texas,0,0,0.03,90
2012-04-03,12:58:00,Texas,0,0,0.47,180
2004-07-07,12:58:00,Texas,0,0,0.2,75
2003-10-09,02:00:00,Texas,0,0,3,150
